;n_validos;q1;q3;iq;lim_inf;lim_sup;n_outliers;pct_outliers;p95;n_acima_p95;pct_acima_p95;iqr_nao_informativo
pct_agua_inad;104108;0.0;0.0118110236220472;0.0118110236220472;-0.0177165354330708;0.029527559055118002;21532;20.68;0.558303886925795;5205;5.0;True
pct_esgoto_inad;104107;0.0;0.0181818181818181;0.0181818181818181;-0.02727272727272715;0.04545454545454525;20901;20.08;0.69268319140858;5206;5.0;True
pct_lixo_inad;104108;0.0;0.0594059405940594;0.0594059405940594;-0.0891089108910891;0.1485148514851485;19124;18.37;0.8461538461538461;5194;4.99;True
razao_moradores;104108;2.478947368421053;2.9261083743842367;0.44716100596318364;1.8082058594762775;3.5968498833290123;3632;3.49;3.2857142857142856;5200;4.99;False
pct_analfab;87556;0.0126582278481012;0.0498687664041994;0.0372105385560982;-0.04315757998604609;0.10568457423834669;4114;4.7;0.1033138401559454;4377;5.0;False
renda_media;104095;1752.475;4835.825000000001;3083.350000000001;-2872.5500000000015;9460.850000000002;10468;10.06;12896.118;5205;5.0;False
pct_raca_pretpardind;104106;0.35262626620386767;0.7043795620437956;0.3517532958399279;-0.17500367755602425;1.2320095058036875;0;0.0;0.8462678221973721;5206;5.0;False
