variavel;n_com;n_sem;media_com;media_sem;mediana_com;mediana_sem;dp_com;dp_sem;p99_com;p99_sem;max_com;max_sem;assimetria_com;assimetria_sem;delta_media_pct;delta_mediana_pct;delta_dp_pct;delta_p99_pct;delta_max_pct;delta_assimetria_pct
pct_agua_inad;104108;104043;0.069611;0.06951;0.0;0.0;0.197387;0.197226;0.975083;0.974874;1.0;1.0;3.4167;3.419942;-0.144659;;-0.082051;-0.021369;0.0;0.094878
pct_esgoto_inad;104107;104042;0.081958;0.081926;0.0;0.0;0.214264;0.214259;0.961353;0.961389;1.0;1.0;2.980699;2.981665;-0.038313;;-0.002397;0.003813;0.0;0.032412
pct_lixo_inad;104108;104043;0.115803;0.115781;0.0;0.0;0.252369;0.252378;0.985915;0.985915;1.0;1.0;2.379252;2.379622;-0.018759;;0.003477;0.0;0.0;0.015543
razao_moradores;104108;104043;2.690929;2.690837;2.712644;2.7125;0.389898;0.389791;3.616319;3.616033;6.913462;6.913462;-0.219031;-0.219289;-0.003419;-0.005297;-0.027338;-0.0079;0.0;-0.117951
pct_analfab;87556;87493;0.036433;0.036427;0.027094;0.027083;0.035185;0.035188;0.16433;0.164294;0.72549;0.72549;2.33576;2.336309;-0.016714;-0.037879;0.008895;-0.022031;0.0;0.023499
renda_media;104095;104030;4185.812445;4178.435337;2572.39;2571.165;4118.573924;4096.073525;19771.5784;19696.4116;140172.64;140172.64;3.197077;3.135132;-0.176241;-0.047621;-0.546315;-0.380176;0.0;-1.937557
pct_raca_pretpardind;104106;104041;0.526744;0.52673;0.571906;0.571865;0.228335;0.228334;0.932391;0.932417;1.0;1.0;-0.390216;-0.389903;-0.002832;-0.007153;-0.000324;0.00279;0.0;0.080242
