classe_renda;n_setores;pct_setores;populacao;domicilios;renda_mediana;renda_media;renda_max
SUSPEITO;66;0.063;26065;9384.0;10167.85;18332.37;170418.06
EXTREMO;3292;3.162;1648973;617964.0;14106.2;15716.64;140172.64
NORMAL;100750;96.775;50423035;18657777.0;2505.16;3801.38;23854.81
