;pct_agua_inad;pct_esgoto_inad;pct_lixo_inad;razao_moradores;pct_analfab;renda_media;pct_raca_pretpardind
pct_agua_inad;1.0;0.445;0.317;0.266;0.265;-0.276;0.361
pct_esgoto_inad;0.445;1.0;0.37;0.353;0.452;-0.464;0.437
pct_lixo_inad;0.317;0.37;1.0;0.156;0.293;-0.287;0.274
razao_moradores;0.266;0.353;0.156;1.0;0.413;-0.442;0.462
pct_analfab;0.265;0.452;0.293;0.413;1.0;-0.754;0.625
renda_media;-0.276;-0.464;-0.287;-0.442;-0.754;1.0;-0.809
pct_raca_pretpardind;0.361;0.437;0.274;0.462;0.625;-0.809;1.0
