regiao;variavel;n;media;dp;p25;mediana;p75
Centro-Oeste;pct_agua_inad;9490.0;0.054900576898543135;0.17095456898791864;0.0;0.0;0.020757656247756606
Centro-Oeste;pct_analfab;8147.0;0.030652938456493837;0.024571295664223666;0.012518473536319135;0.026168224299065422;0.043542509817546975
Centro-Oeste;pct_esgoto_inad;9490.0;0.07495607956408583;0.21558079661437465;0.0;0.0;0.0
Centro-Oeste;pct_lixo_inad;9490.0;0.09114845679351105;0.2305095324267527;0.0;0.0;0.022917167917058553
Centro-Oeste;pct_raca_pretpardind;9490.0;0.5649174323601522;0.15629858196026095;0.47207058389813683;0.6021276595744681;0.6803745185822133
Centro-Oeste;razao_moradores;9490.0;2.762102708168033;0.41264967186131735;2.548093431978523;2.802531594944809;3.022368638466623
Centro-Oeste;renda_media;9490.0;4944.551900948367;4374.8472604735225;2224.1125;3127.125;5873.285
Nordeste;pct_agua_inad;19497.0;0.11755487806901564;0.23154046641566844;0.0;0.007772020725388601;0.10580204778156997
Nordeste;pct_analfab;17867.0;0.0623281829674225;0.04969470960437269;0.02444716109752785;0.05157593123209169;0.08842690251692209
Nordeste;pct_esgoto_inad;19496.0;0.16170395664450724;0.29503063612328034;0.0;0.0;0.1390728476821192
Nordeste;pct_lixo_inad;19497.0;0.1539093329638189;0.28791549963990587;0.0;0.0;0.12835820895522387
Nordeste;pct_raca_pretpardind;19497.0;0.7127256978538148;0.15886218414785447;0.635678391959799;0.7340529931305201;0.8235294117647058
Nordeste;razao_moradores;19497.0;2.7712478116538337;0.3229914496187821;2.5714285714285716;2.783393501805054;2.977272727272727
Nordeste;renda_media;19496.0;3008.448933627411;3233.28526247623;1337.2075;1719.1950000000002;3047.9275
Norte;pct_agua_inad;5915.0;0.32273548145547903;0.3398430008698247;0.044499449944994496;0.17587939698492464;0.5402042282430213
Norte;pct_analfab;5411.0;0.03271908862606491;0.024793530700361867;0.016330234453127895;0.028421052631578948;0.04313196976903969
Norte;pct_esgoto_inad;5915.0;0.23757768736263205;0.31704425567599237;0.0;0.06615776081424936;0.39022775423728817
Norte;pct_lixo_inad;5915.0;0.09827714710429486;0.21111133148730343;0.0;0.0;0.06704665648137267
Norte;pct_raca_pretpardind;5915.0;0.7479237216286762;0.1002986785132461;0.7111597374179431;0.7699481865284974;0.8084641882415375
Norte;razao_moradores;5915.0;3.194361387608924;0.3497063689996148;2.998684210526316;3.1937716262975777;3.407311951126384
Norte;renda_media;5915.0;2880.5023465765003;3133.4140897178772;1465.03;1820.99;2814.575
Sudeste;pct_agua_inad;61989.0;0.038405108925318863;0.15450372039887006;0.0;0.0;0.0
Sudeste;pct_analfab;50608.0;0.030271289186769784;0.027419534420576673;0.011210762331838564;0.023622047244094488;0.043010752688172046
Sudeste;pct_esgoto_inad;61989.0;0.04926072203426833;0.1599114708449654;0.0;0.0;0.0
Sudeste;pct_lixo_inad;61989.0;0.11090266869345121;0.24681945349560513;0.0;0.0;0.054945054945054944
Sudeste;pct_raca_pretpardind;61987.0;0.4739827160250927;0.2119008351296889;0.30396856192889155;0.5125725338491296;0.6455696202531646
Sudeste;razao_moradores;61989.0;2.6255608607641068;0.36256911236036893;2.433628318584071;2.6607142857142856;2.8541666666666665
Sudeste;renda_media;61978.0;4490.817569137436;4411.462870764046;1892.6575;2730.5950000000003;5217.205
Sul;pct_agua_inad;7217.0;0.020011577806660175;0.09631071489767937;0.0;0.0;0.0
Sul;pct_analfab;5523.0;0.021281701412270454;0.021109607657314042;0.007561436672967864;0.016166281755196306;0.030229629195712024
Sul;pct_esgoto_inad;7217.0;0.029035680611281145;0.12219061803952316;0.0;0.0;0.0
Sul;pct_lixo_inad;7217.0;0.10172671905458082;0.24455389709443867;0.0;0.0;0.030201342281879196
Sul;pct_raca_pretpardind;7217.0;0.24600839550415896;0.1403571036578143;0.13427561837455831;0.22186495176848875;0.344
Sul;razao_moradores;7217.0;2.529205438663448;0.4040641036927376;2.2626262626262625;2.5991902834008096;2.8118279569892475
Sul;renda_media;7217.0;4842.1759553831225;3576.1811189460564;2462.04;3722.28;6118.8
