variavel;n_com;n_sem;media_com;media_sem;mediana_com;mediana_sem;dp_com;dp_sem;p99_com;p99_sem;max_com;max_sem;assimetria_com;assimetria_sem;delta_media_pct;delta_mediana_pct;delta_dp_pct;delta_p99_pct;delta_max_pct;delta_assimetria_pct
pct_agua_inad;104108;104042;0.069611;0.069511;0.0;0.0;0.197387;0.197226;0.975083;0.974874;1.0;1.0;3.4167;3.419922;-0.143699;;-0.081631;-0.021369;0.0;0.094291
pct_esgoto_inad;104107;104041;0.081958;0.081927;0.0;0.0;0.214264;0.21426;0.961353;0.96139;1.0;1.0;2.980699;2.981647;-0.037353;;-0.001987;0.003878;0.0;0.031791
pct_lixo_inad;104108;104042;0.115803;0.115782;0.0;0.0;0.252369;0.252379;0.985915;0.985915;1.0;1.0;2.379252;2.379605;-0.017931;;0.003883;0.0;0.0;0.014834
razao_moradores;104108;104042;2.690929;2.690836;2.712644;2.7125;0.389898;0.389793;3.616319;3.616035;6.913462;6.913462;-0.219031;-0.219281;-0.003453;-0.005297;-0.026886;-0.007857;0.0;-0.114437
pct_analfab;87556;87492;0.036433;0.036426;0.027094;0.027083;0.035185;0.035188;0.16433;0.164295;0.72549;0.72549;2.33576;2.336356;-0.017781;-0.037879;0.008932;-0.021436;0.0;0.025508
renda_media;104096;104030;4187.409358;4178.435337;2572.39;2571.165;4150.656169;4096.073525;19771.7935;19696.4116;170418.06;140172.64;3.739456;3.135132;-0.21431;-0.047621;-1.315037;-0.38126;-17.747779;-16.160743
pct_raca_pretpardind;104106;104040;0.526744;0.526727;0.571906;0.571861;0.228335;0.228334;0.932391;0.932418;1.0;1.0;-0.390216;-0.389887;-0.003245;-0.007954;-0.000315;0.002831;0.0;0.084234
