CD_UF;CD_MUN;NM_MUN;regiao;n_setores;set_urbana;dom_urbana;set_rural;dom_rural;set_sem;dom_sem;pct_set_urbana;pct_set_rural
31;3122306;Divinópolis;Sudeste;548.0;508.0;84885.0;40.0;2190.0;0.0;0.0;92.7;7.3
31;3145877;Orizânia;Sudeste;21.0;5.0;1160.0;16.0;1855.0;0.0;0.0;23.81;76.19
31;3157005;Salinas;Sudeste;81.0;53.0;12400.0;28.0;2492.0;0.0;0.0;65.43;34.57
32;3201209;Cachoeiro de Itapemirim;Sudeste;411.0;371.0;66446.0;40.0;4533.0;0.0;0.0;90.27;9.73
32;3202454;Ibatiba;Sudeste;54.0;35.0;6159.0;19.0;3137.0;0.0;0.0;64.81;35.19
33;3301702;Duque de Caxias;Sudeste;1837.0;1817.0;297397.0;20.0;659.0;0.0;0.0;98.91;1.09
33;3302403;Macaé;Sudeste;740.0;667.0;90136.0;71.0;2546.0;2.0;0.0;90.14;9.59
33;3303500;Nova Iguaçu;Sudeste;1638.0;1598.0;286464.0;40.0;1134.0;0.0;0.0;97.56;2.44
33;3304557;Rio de Janeiro;Sudeste;13782.0;13776.0;2436849.0;1.0;22.0;5.0;0.0;99.96;0.01
33;3304904;São Gonçalo;Sudeste;2413.0;2407.0;357984.0;6.0;91.0;0.0;0.0;99.75;0.25
33;3305208;São Pedro da Aldeia;Sudeste;375.0;347.0;37275.0;24.0;1043.0;4.0;0.0;92.53;6.4
35;3502804;Araçatuba;Sudeste;523.0;499.0;76520.0;23.0;1246.0;1.0;0.0;95.41;4.4
35;3509502;Campinas;Sudeste;2592.0;2534.0;427416.0;58.0;2088.0;0.0;0.0;97.76;2.24
35;3517505;Guapiaçu;Sudeste;50.0;40.0;7247.0;10.0;488.0;0.0;0.0;80.0;20.0
35;3518701;Guarujá;Sudeste;772.0;715.0;99085.0;54.0;280.0;3.0;0.0;92.62;6.99
35;3518800;Guarulhos;Sudeste;2510.0;2485.0;450311.0;25.0;198.0;0.0;0.0;99.0;1.0
35;3520103;Igarapava;Sudeste;65.0;56.0;9554.0;9.0;299.0;0.0;0.0;86.15;13.85
35;3529401;Mauá;Sudeste;846.0;839.0;152153.0;7.0;463.0;0.0;0.0;99.17;0.83
35;3545209;Salto;Sudeste;215.0;197.0;46263.0;18.0;523.0;0.0;0.0;91.63;8.37
35;3548708;São Bernardo do Campo;Sudeste;1759.0;1718.0;299370.0;38.0;1274.0;3.0;0.0;97.67;2.16
35;3548807;São Caetano do Sul;Sudeste;431.0;431.0;61987.0;0.0;0.0;0.0;0.0;100.0;0.0
35;3550308;São Paulo;Sudeste;27301.0;27037.0;4301943.0;254.0;5366.0;10.0;0.0;99.03;0.93
35;3552700;Tabatinga;Sudeste;39.0;33.0;5021.0;6.0;491.0;0.0;0.0;84.62;15.38
41;4106902;Curitiba;Sul;3190.0;3190.0;685853.0;0.0;0.0;0.0;0.0;100.0;0.0
41;4118501;Pato Branco;Sul;172.0;153.0;32650.0;19.0;1663.0;0.0;0.0;88.95;11.05
41;4123857;Santa Maria do Oeste;Sul;37.0;8.0;1117.0;29.0;2489.0;0.0;0.0;21.62;78.38
41;4125506;São José dos Pinhais;Sul;522.0;462.0;109928.0;60.0;7195.0;0.0;0.0;88.51;11.49
42;4217808;Taió;Sul;74.0;55.0;4602.0;19.0;2222.0;0.0;0.0;74.32;25.68
43;4304606;Canoas;Sul;659.0;659.0;132820.0;0.0;0.0;0.0;0.0;100.0;0.0
43;4305355;Charqueadas;Sul;70.0;63.0;11708.0;7.0;285.0;0.0;0.0;90.0;10.0
43;4314902;Porto Alegre;Sul;2744.0;2717.0;557314.0;21.0;914.0;6.0;0.0;99.02;0.77
43;4319307;São Paulo das Missões;Sul;18.0;6.0;948.0;12.0;1283.0;0.0;0.0;33.33;66.67
50;5002704;Campo Grande;Centro-Oeste;1665.0;1621.0;322132.0;44.0;3698.0;0.0;0.0;97.36;2.64
51;5103007;Chapada dos Guimarães;Centro-Oeste;75.0;35.0;4619.0;40.0;2263.0;0.0;0.0;46.67;53.33
52;5201108;Anápolis;Centro-Oeste;593.0;567.0;139991.0;26.0;2334.0;0.0;0.0;95.62;4.38
52;5208608;Goianésia;Centro-Oeste;108.0;91.0;24539.0;17.0;1487.0;0.0;0.0;84.26;15.74
52;5208707;Goiânia;Centro-Oeste;2310.0;2291.0;548278.0;19.0;775.0;0.0;0.0;99.18;0.82
52;5222054;Vicentinópolis;Centro-Oeste;17.0;12.0;2834.0;5.0;310.0;0.0;0.0;70.59;29.41
53;5300108;Brasília;Centro-Oeste;5418.0;5021.0;959203.0;393.0;28873.0;4.0;0.0;92.67;7.25
