regiao;n;media;dp;p25;mediana;p75
Centro-Oeste;9931.0;0.4898933353251142;0.10444182948513671;0.4347057919803349;0.5;0.5594713656387665
Nordeste;20020.0;0.551399940872419;0.0892122840161635;0.49805065995269704;0.5567010309278351;0.6111111111111112
Norte;6235.0;0.5352945660806384;0.09581026310663354;0.48941769316909295;0.543859649122807;0.5938293147208122
Sudeste;62494.0;0.5236683978758144;0.09030772307794256;0.47058823529411764;0.5297297297297298;0.5833333333333334
Sul;7349.0;0.5081363508851781;0.09858422074263039;0.45132743362831856;0.5194805194805194;0.5774058577405857
