;n_setores;n_setores_fcu;pct_setores_fcu;n_fcu_distintas;pop_fcu;pct_pop_fcu;dom_fcu;pct_dom_fcu;universo
base_completa;109032.0;19507.0;17.89;5903.0;10071575.0;19.1;3443687.0;17.7;base completa (109.032 setores)
recorte_analise;104108.0;19452.0;18.68;5899.0;10069994.0;19.33;3443687.0;17.86;recorte de análise (104.108 urbanos elegíveis)
