CD_UF;CD_MUN;NM_MUN;variavel;n;media;dp;p25;mediana;p75
42;4217808;Taió;pct_agua_nao_encanada;48.0;0.0005287648054145516;0.0036633900329290977;0.0;0.0;0.0
42;4217808;Taió;pct_agua_so_terreno;46.0;0.01741199407277536;0.07834894961848245;0.0;0.0;0.0
42;4217808;Taió;pct_sem_agua_canalizada;50.0;0.022065476991354638;0.07905348538711272;0.0;0.0;0.0
43;4304606;Canoas;pct_agua_nao_encanada;582.0;0.0025632571451273812;0.029362520176968422;0.0;0.0;0.0
43;4304606;Canoas;pct_agua_so_terreno;552.0;0.0028991885385206335;0.02634543849964291;0.0;0.0;0.0
43;4304606;Canoas;pct_sem_agua_canalizada;645.0;0.006431277009882845;0.039542157297095266;0.0;0.0;0.0023866348448687846
43;4305355;Charqueadas;pct_agua_nao_encanada;51.0;0.0005772721073448107;0.0029949482798286666;0.0;0.0;0.0
43;4305355;Charqueadas;pct_agua_so_terreno;47.0;0.0005259900669893498;0.0025804782665205103;0.0;0.0;0.0
43;4305355;Charqueadas;pct_sem_agua_canalizada;56.0;0.002404108951890933;0.005486516665818676;0.0;0.0;0.003782759431190469
43;4314902;Porto Alegre;pct_agua_nao_encanada;2525.0;0.0026565971837266104;0.03321203555526473;0.0;0.0;0.0
43;4314902;Porto Alegre;pct_agua_so_terreno;2364.0;0.0017521097136720765;0.019744442203774894;0.0;0.0;0.0
43;4314902;Porto Alegre;pct_sem_agua_canalizada;2677.0;0.005532353699577879;0.04051926170308357;0.0;0.0;0.0
43;4319307;São Paulo das Missões;pct_agua_nao_encanada;6.0;0.0;0.0;0.0;0.0;0.0
43;4319307;São Paulo das Missões;pct_agua_so_terreno;6.0;0.0;0.0;0.0;0.0;0.0
43;4319307;São Paulo das Missões;pct_sem_agua_canalizada;6.0;0.0;0.0;0.0;0.0;0.0
50;5002704;Campo Grande;pct_agua_nao_encanada;1405.0;0.0027777510092106424;0.033234332688924666;0.0;0.0;0.0
50;5002704;Campo Grande;pct_agua_so_terreno;1270.0;0.005723023372975221;0.034961497570060306;0.0;0.0;0.0
50;5002704;Campo Grande;pct_sem_agua_canalizada;1602.0;0.009312280007385532;0.04490672810506078;0.0;0.0;0.005398140075559388
51;5103007;Chapada dos Guimarães;pct_agua_nao_encanada;33.0;0.0;0.0;0.0;0.0;0.0
51;5103007;Chapada dos Guimarães;pct_agua_so_terreno;21.0;0.01743634867676523;0.028124691587956004;0.0;0.0;0.020689655172413793
51;5103007;Chapada dos Guimarães;pct_sem_agua_canalizada;34.0;0.01904301112267412;0.025541786075116934;0.0;0.007069344524380461;0.030208333333333337
52;5201108;Anápolis;pct_agua_nao_encanada;506.0;0.0041033877786079195;0.04345398687096996;0.0;0.0;0.0
52;5201108;Anápolis;pct_agua_so_terreno;426.0;0.008355042212938806;0.06262778568462284;0.0;0.0;0.0
52;5201108;Anápolis;pct_sem_agua_canalizada;558.0;0.01196914446853714;0.07030362243723638;0.0;0.0;0.004452195926056723
52;5208608;Goianésia;pct_agua_nao_encanada;74.0;0.0034831280985127134;0.027947439316383178;0.0;0.0;0.0
52;5208608;Goianésia;pct_agua_so_terreno;65.0;0.003496472851950785;0.009932502287697221;0.0;0.0;0.0
52;5208608;Goianésia;pct_sem_agua_canalizada;88.0;0.008407823526730685;0.03398390223317561;0.0;0.0;0.005118877226463148
52;5208707;Goiânia;pct_agua_nao_encanada;2073.0;0.00174068854199049;0.027836597106153;0.0;0.0;0.0
52;5208707;Goiânia;pct_agua_so_terreno;1847.0;0.003627039361862394;0.03136433018742601;0.0;0.0;0.0
52;5208707;Goiânia;pct_sem_agua_canalizada;2272.0;0.006304688883896018;0.0396014031968546;0.0;0.0;0.003401360544217691
52;5222054;Vicentinópolis;pct_agua_nao_encanada;11.0;0.0;0.0;0.0;0.0;0.0
52;5222054;Vicentinópolis;pct_agua_so_terreno;7.0;0.0;0.0;0.0;0.0;0.0
52;5222054;Vicentinópolis;pct_sem_agua_canalizada;11.0;0.00275231278936698;0.005953086414374076;0.0;0.0;0.003036880005383935
53;5300108;Brasília;pct_agua_nao_encanada;4692.0;0.001087869051264848;0.015019413958266331;0.0;0.0;0.0
53;5300108;Brasília;pct_agua_so_terreno;4351.0;0.0036258015299086063;0.03876878030908348;0.0;0.0;0.0
53;5300108;Brasília;pct_sem_agua_canalizada;4920.0;0.004950978774654467;0.03509720540105422;0.0;0.0;0.0
