regiao;variavel;n;media;dp;p25;mediana;p75
Centro-Oeste;iep_setor;9415.0;96.93387214672555;95.27428867262371;43.59719737626715;75.23809523809524;122.91608780216727
Centro-Oeste;pct_crianca_0a4;9400.0;0.059498213853978556;0.021262370952520718;0.04533333333333334;0.05800339429947092;0.07229222388535814
Centro-Oeste;pct_idoso_60mais;9464.0;0.1464707540263156;0.07405374472484877;0.09132725791670909;0.1375093423019432;0.18913657073791257
Centro-Oeste;pct_pop_0a14;9470.0;0.18558696517297588;0.0540242101526845;0.15123293799487383;0.18526679183574588;0.21870047055538674
Centro-Oeste;prop_70mais_entre_60mais;9326.0;41.338539283274805;10.846134079752487;34.02061855670103;40.909090909090914;48.4375
Centro-Oeste;rdi_setor;9462.0;22.90834430183251;16.77809171393766;13.046497584541063;20.433501323994193;29.31596091205212
Nordeste;iep_setor;19362.0;106.19976882118989;106.39831249192977;46.553469216808594;77.77777777777779;131.25
Nordeste;pct_crianca_0a4;19303.0;0.05747723832600357;0.02184357400821866;0.042274274790304045;0.05583756345177665;0.0707070707070707
Nordeste;pct_idoso_60mais;19443.0;0.1540038252964235;0.07392351122631732;0.10057637366287955;0.1435257410296412;0.19683789526309212
Nordeste;pct_pop_0a14;19467.0;0.18324259279517846;0.05454986175492846;0.14693265612091916;0.18250377073906485;0.21802063691598575
Nordeste;prop_70mais_entre_60mais;19113.0;41.798266960994084;10.24796026579407;35.294117647058826;41.843971631205676;48.35164835164835
Nordeste;rdi_setor;19441.0;24.017133134729;13.812673650602685;14.78743068391867;21.502590673575128;30.327868852459016
Norte;iep_setor;5894.0;71.35884732800324;59.932558675659266;30.34874266798304;53.55042016806723;92.20150448143406
Norte;pct_crianca_0a4;5896.0;0.06558718678533029;0.0230145432695969;0.049160834222584895;0.06323436021396066;0.07957131855908274
Norte;pct_idoso_60mais;5901.0;0.12269395904220766;0.06264916778508073;0.07518796992481203;0.11180124223602485;0.15869786368260427
Norte;pct_pop_0a14;5913.0;0.20997885185203238;0.056660375294470135;0.1690340909090909;0.20638820638820637;0.24833110814419226
Norte;prop_70mais_entre_60mais;5801.0;38.60920739170984;9.749626915744416;32.323232323232325;38.46153846153847;44.881889763779526
Norte;rdi_setor;5901.0;18.716957129862944;10.406258549218856;11.06612685560054;16.576576576576578;23.940677966101696
Sudeste;iep_setor;61291.0;151.3180983034976;154.82512858059758;62.10526315789474;110.95890410958904;191.2087912087912
Sudeste;pct_crianca_0a4;60600.0;0.05173589518826501;0.021645842253477862;0.036458333333333336;0.04956896551724138;0.06436510943900106
Sudeste;pct_idoso_60mais;61808.0;0.18858010638660913;0.08667064781890492;0.12365591397849462;0.18248625199132368;0.24675324675324675
Sudeste;pct_pop_0a14;61806.0;0.16530127028809932;0.0571139080384514;0.12718204488778054;0.16440677966101694;0.20271803573619007
Sudeste;prop_70mais_entre_60mais;60602.0;43.40625525562566;11.289502729691753;36.206896551724135;43.793235055579416;50.74626865671642
Sudeste;rdi_setor;61800.0;30.579127639532874;17.368228439006433;18.285714285714285;28.08988764044944;39.88138877251781
Sul;iep_setor;7154.0;170.78370157444834;164.40375241105664;68.76108156028369;122.93374316939891;225.56902523503217
Sul;pct_crianca_0a4;7089.0;0.048440312629772456;0.020762587161240218;0.033707865168539325;0.046511627906976744;0.06095791001451379
Sul;pct_idoso_60mais;7207.0;0.20008384043580138;0.08770071185009251;0.13377546275934002;0.1934156378600823;0.2608695652173913
Sul;pct_pop_0a14;7194.0;0.15854859178587877;0.05881252619062921;0.1181530494821634;0.15847330191592487;0.19696969696969696
Sul;prop_70mais_entre_60mais;7130.0;43.82087692203737;10.282729420219649;37.03703703703704;43.96551724137931;50.84392655367232
Sul;rdi_setor;7206.0;32.65186834797978;17.59329442126863;19.905047931076325;29.965016796771152;42.32052040212891
