CD_SETOR;NM_MUN;indice_01;escore_F1;escore_F2;escore_composto;escore_composto_bruto
330455705120026;Rio de Janeiro;0.387594;-0.261219;1.935061;0.506643;0.138497
330455705120027;Rio de Janeiro;0.383173;1.605994;-1.069442;0.670609;0.414883
330455705120029;Rio de Janeiro;0.385382;1.26287;-1.296571;0.36804;0.21102
330455705120030;Rio de Janeiro;0.354093;0.267707;-0.818385;-0.112012;-0.041157
330455705120031;Rio de Janeiro;0.36868;0.882114;-1.087133;0.193627;0.068299
330455705120032;Rio de Janeiro;0.385991;1.378658;-1.267754;0.453421;0.265551
330455705120035;Rio de Janeiro;0.403329;1.247616;-1.024226;0.453336;0.329441
330455705120036;Rio de Janeiro;0.391712;1.309236;-1.134482;0.454865;0.265815
330455705120037;Rio de Janeiro;0.373983;0.688178;-1.027447;0.088362;0.073146
330455705120038;Rio de Janeiro;0.370797;1.072442;-1.154634;0.293813;0.154274
330455705120039;Rio de Janeiro;0.390359;1.336857;-0.427625;0.71996;0.271237
330455705120040;Rio de Janeiro;0.376547;1.387338;-1.432731;0.401387;0.176247
330455705120041;Rio de Janeiro;0.401142;1.785493;-1.163234;0.75456;0.476988
330455705120042;Rio de Janeiro;0.401513;1.328434;-1.262011;0.422764;0.296895
330455705120043;Rio de Janeiro;0.400169;1.453921;-1.267574;0.502433;0.404227
330455705120046;Rio de Janeiro;0.348498;0.861787;-1.280829;0.112687;0.016749
330455705120047;Rio de Janeiro;0.359749;0.625885;-0.90894;0.08928;0.078938
330455705120048;Rio de Janeiro;0.335805;0.157967;-0.981776;-0.240509;-0.131968
330455705120049;Rio de Janeiro;0.33286;0.375537;-1.088105;-0.13618;-0.081564
330455705120050;Rio de Janeiro;0.32976;0.350997;-1.150675;-0.174017;-0.147537
330455705120051;Rio de Janeiro;0.337656;0.605535;-1.171279;-0.015673;-0.008117
330455705120052;Rio de Janeiro;0.363516;0.960369;-1.306638;0.167779;0.136609
330455705120053;Rio de Janeiro;0.347901;0.514978;-1.139793;-0.063562;-0.063032
330455705120055;Rio de Janeiro;0.306806;-0.468616;-0.88274;-0.613402;-0.59935
330455705120057;Rio de Janeiro;0.296481;-0.733841;-0.780585;-0.750184;-0.5476
330455705120060;Rio de Janeiro;0.311281;-1.42515;0.893878;-0.614373;-0.458535
330455705120061;Rio de Janeiro;0.334109;-1.182545;1.207845;-0.346818;-0.257186
330455705120062;Rio de Janeiro;0.346807;0.283949;-0.963462;-0.15217;0.124062
330455705120063;Rio de Janeiro;0.30533;-1.195276;-0.553022;-0.970731;-0.590652
330455705120066;Rio de Janeiro;0.29017;-1.065648;-0.561715;-0.889463;-0.564494
330455705120068;Rio de Janeiro;0.30957;-1.082662;-0.585945;-0.909;-0.552999
330455705120070;Rio de Janeiro;0.327105;-0.193015;0.179513;-0.062772;-0.124005
330455705120071;Rio de Janeiro;0.305836;-0.521196;-0.839361;-0.632433;-0.421824
330455705120072;Rio de Janeiro;0.331235;-0.234075;-0.806508;-0.434209;-0.225734
330455705120074;Rio de Janeiro;0.36141;-0.282061;0.800676;0.096485;0.024103
330455705120075;Rio de Janeiro;0.305082;-0.595935;-0.833139;-0.678867;-0.563297
330455705120076;Rio de Janeiro;0.329133;-0.725205;0.499173;-0.297139;-0.24981
330455705120077;Rio de Janeiro;0.279267;-1.112753;-0.628415;-0.943419;-0.729787
330455705120078;Rio de Janeiro;0.274798;-1.27332;-0.495958;-1.001539;-0.738778
330455705120079;Rio de Janeiro;0.288183;-1.382683;-0.344525;-1.019723;-0.758206
330455705120081;Rio de Janeiro;0.294605;-1.002907;-0.656926;-0.881945;-0.609941
330455705120082;Rio de Janeiro;0.293977;-0.726344;-0.782386;-0.745937;-0.53838
330455705120083;Rio de Janeiro;0.300339;-1.235698;-0.528523;-0.988456;-0.622957
330455705120085;Rio de Janeiro;0.338931;0.078939;-1.005292;-0.300129;-0.119545
330455705120086;Rio de Janeiro;0.315763;-0.442327;-0.557445;-0.482575;-0.24221
330455705120087;Rio de Janeiro;0.303085;-0.650622;-0.730057;-0.678394;-0.443931
330455705120088;Rio de Janeiro;0.301634;-1.199187;-0.491408;-0.951733;-0.560473
330455705120089;Rio de Janeiro;0.334859;-1.042881;0.695809;-0.435001;-0.2745
330455705120092;Rio de Janeiro;0.301579;-1.117505;-0.569052;-0.925755;-0.538048
330455705120093;Rio de Janeiro;0.36175;0.215538;0.460367;0.301135;0.053963
330455705120094;Rio de Janeiro;0.38413;1.223349;-1.088624;0.415038;0.259934
330455705120095;Rio de Janeiro;0.393077;1.20525;0.098435;0.818286;0.418013
330455705120096;Rio de Janeiro;0.322137;-0.38844;-0.721655;-0.504938;-0.243138
330455705120100;Rio de Janeiro;0.367876;0.757044;-1.025483;0.133838;0.098002
330455705120101;Rio de Janeiro;0.369199;0.81413;-1.074087;0.153973;0.102975
330455705120102;Rio de Janeiro;0.34312;-0.185162;-0.83326;-0.41175;-0.196609
330455705120104;Rio de Janeiro;0.358179;0.794107;-1.15972;0.111011;0.069173
330455705120106;Rio de Janeiro;0.377363;1.407949;-0.984933;0.571351;0.385913
330455705120107;Rio de Janeiro;0.34059;-0.368279;-0.723889;-0.492607;-0.206654
330455705120108;Rio de Janeiro;0.326944;-0.503241;-0.778335;-0.599419;-0.321971
330455705120110;Rio de Janeiro;0.375897;1.150813;-0.455528;0.589205;0.148664
330455705120111;Rio de Janeiro;0.305377;-1.134113;-0.512971;-0.91695;-0.498927
330455705120112;Rio de Janeiro;0.348775;0.306383;-0.823847;-0.088767;0.003805
330455705120113;Rio de Janeiro;0.328916;-0.506734;-0.80358;-0.610517;-0.394811
330455705120114;Rio de Janeiro;0.406321;1.247684;0.960461;1.147265;0.480968
330455705120115;Rio de Janeiro;0.343923;-0.276974;-0.762767;-0.446817;-0.193225
330455705120116;Rio de Janeiro;0.314505;0.048301;-1.068658;-0.342209;-0.217002
330455705120117;Rio de Janeiro;0.348328;0.793406;-1.071315;0.141464;0.072068
330455705120118;Rio de Janeiro;0.349869;0.57392;-0.442909;0.218417;-0.059437
330455705120129;Rio de Janeiro;0.362617;0.185033;0.103659;0.156583;-0.072683
330455705120130;Rio de Janeiro;0.265032;-1.137954;-0.650818;-0.967642;-0.820179
330455705120131;Rio de Janeiro;0.295102;-1.179723;-0.569829;-0.966492;-0.823287
330455705120132;Rio de Janeiro;0.3756;0.964138;-1.084081;0.248041;0.171544
330455705120133;Rio de Janeiro;0.38212;1.258243;-1.308139;0.360986;0.390626
330455705120134;Rio de Janeiro;0.377346;1.456496;-1.027501;0.588043;0.317237
330455705120135;Rio de Janeiro;0.359796;1.108162;-1.360243;0.24516;0.149996
330455705120136;Rio de Janeiro;0.327794;0.199315;-1.119655;-0.261823;-0.400137
330455705120138;Rio de Janeiro;0.356763;0.897306;-1.19078;0.167271;0.069602
330455705120139;Rio de Janeiro;0.376565;1.214367;-0.949394;0.457874;0.24153
330455705120140;Rio de Janeiro;0.380372;1.202739;-0.986225;0.437435;0.228757
330455705120141;Rio de Janeiro;0.369914;0.274702;-0.894745;-0.134159;-0.072774
330455705120142;Rio de Janeiro;0.365948;1.163375;-1.30337;0.300953;0.188721
330455705120143;Rio de Janeiro;0.435781;1.543316;-0.091483;0.971759;0.599694
330455705120144;Rio de Janeiro;0.35803;0.938561;-1.223396;0.182699;0.068919
330455705120145;Rio de Janeiro;0.372344;0.803631;-1.093051;0.140514;0.109848
330455705120146;Rio de Janeiro;0.349703;0.776225;-1.056876;0.135338;0.066995
330455705120148;Rio de Janeiro;0.302226;-0.942077;-0.676061;-0.849072;-0.580031
330455705120149;Rio de Janeiro;0.388857;1.14376;-1.173457;0.333616;0.599695
330455705120150;Rio de Janeiro;0.386425;0.926015;0.468422;0.766032;0.454157
330455705120151;Rio de Janeiro;0.36278;1.246872;-1.059434;0.440543;0.272721
330455705120152;Rio de Janeiro;0.374861;1.436876;-1.166841;0.526566;0.297844
330455705120153;Rio de Janeiro;0.305871;-0.855147;-0.402448;-0.696874;-0.361403
330455705120154;Rio de Janeiro;0.353087;-0.060177;0.475669;0.127165;-0.003997
330455705120155;Rio de Janeiro;0.35672;0.83245;-1.049818;0.174373;0.167488
330455705120156;Rio de Janeiro;0.325852;-0.435314;-0.721224;-0.535273;-0.253487
330455705120157;Rio de Janeiro;0.33288;0.261632;-1.069357;-0.203708;-0.135675
330455705120159;Rio de Janeiro;0.384762;1.554841;-1.202542;0.590806;0.312962
330455705120160;Rio de Janeiro;0.37649;1.062993;-1.295089;0.238562;0.154973
330455705120161;Rio de Janeiro;0.363658;1.313916;-1.18494;0.440267;0.261092
330455705120162;Rio de Janeiro;0.310698;-0.964046;-0.565635;-0.824754;-0.431802
330455705120163;Rio de Janeiro;0.313535;-0.678822;-0.633708;-0.663049;-0.345384
330455705120164;Rio de Janeiro;0.318274;-0.589698;-0.758788;-0.648815;-0.384558
330455705120167;Rio de Janeiro;0.3171;-0.532574;-0.659754;-0.577038;-0.287598
330455705120169;Rio de Janeiro;0.354856;-0.609421;0.774511;-0.125571;-0.091277
330455705120170;Rio de Janeiro;0.349264;0.354455;-0.893931;-0.082005;-0.020166
330455705120171;Rio de Janeiro;0.376519;1.669341;-1.131966;0.68995;0.435026
330455705120173;Rio de Janeiro;0.263549;-1.598485;-0.386009;-1.17458;-1.01095
330455705120174;Rio de Janeiro;0.370438;1.261467;-1.228727;0.390847;0.235954
330455705120175;Rio de Janeiro;0.325031;-0.102018;-1.031454;-0.426967;-0.290457
330455705120179;Rio de Janeiro;0.298935;-0.996868;-0.584765;-0.852789;-0.517572
330455705120180;Rio de Janeiro;0.304399;-1.05846;-0.521335;-0.870671;-0.481749
330455705120182;Rio de Janeiro;0.265065;-1.152104;-0.661735;-0.980661;-0.943961
330455705120183;Rio de Janeiro;0.325373;-0.304694;-0.821967;-0.485543;-0.256876
330455705120184;Rio de Janeiro;0.32096;-0.840744;0.469107;-0.382795;-0.32967
