;componente;autovalor;pct_variancia;pct_acumulado;autovalor_aleatorio_horn
0;1;3.2997;47.14;47.14;1.0259
1;2;1.0486;14.98;62.12;1.0155
2;3;0.9575;13.68;75.8;1.0075
3;4;0.6198;8.85;84.65;1.0005
4;5;0.5544;7.92;92.57;0.9927
5;6;0.3478;4.97;97.54;0.9848
6;7;0.1722;2.46;100.0;0.9731
