;componente;autovalor;pct_variancia;pct_acumulado;autovalor_aleatorio_horn
0;1;3.2391;53.99;53.99;1.0232
1;2;0.9585;15.98;69.96;1.0119
2;3;0.7048;11.75;81.71;1.0031
3;4;0.5714;9.52;91.23;0.9962
4;5;0.3536;5.89;97.13;0.988
5;6;0.1724;2.87;100.0;0.9776
