variavel;Varimax1;Varimax2;Padrao1;Padrao2;Estrutura1;Estrutura2;comun_ortogonal;comun_obliqua;var_residual
Água inadequada;0.0869;0.9025;-0.2111;0.9987;0.3097;0.8886;0.8221;0.8221;0.1779
Esgoto inadequado;0.3921;0.6792;0.2074;0.6558;0.5495;0.764;0.615;0.615;0.385
Razão de moradores;0.5322;0.3118;0.49;0.1979;0.5932;0.4535;0.3804;0.3804;0.6196
Analfabetismo 15+;0.8684;0.1266;0.9302;-0.1107;0.8725;0.3744;0.7701;0.7701;0.2299
Renda (invertida);0.9152;0.1369;0.9792;-0.1128;0.9204;0.3979;0.8564;0.8564;0.1436
Cor/raça PPI;0.833;0.2446;0.8502;0.0336;0.8677;0.477;0.7537;0.7537;0.2463
