;CP1;CP2;Varimax1;Varimax2;comunalidade;MSA
Água inadequada;-0.458;0.745;0.073;0.871;0.764;0.611
Esgoto inadequado;-0.666;0.383;-0.309;0.704;0.59;0.781
Razão de moradores;-0.614;-0.024;-0.509;0.345;0.378;0.838
Analfabetismo 15+;-0.798;0.044;-0.616;0.509;0.639;0.799
Renda (invertida);-0.601;-0.645;-0.867;-0.162;0.777;0.612
Cor/raça PPI;-0.818;-0.28;-0.825;0.26;0.748;0.703
