;componente;autovalor;pct_variancia;pct_acumulado;autovalor_aleatorio_horn
0;1;2.6962;38.52;38.52;1.0259
1;2;1.0569;15.1;53.62;1.0155
2;3;1.0179;14.54;68.16;1.0075
3;4;0.7597;10.85;79.01;1.0005
4;5;0.6468;9.24;88.25;0.9927
5;6;0.5257;7.51;95.76;0.9848
6;7;0.2969;4.24;100.0;0.9731
