;CP1;CP2;Varimax1;Varimax2;comunalidade;MSA
Água inadequada;-0.386;-0.422;-0.2;-0.536;0.327;0.734
Esgoto inadequado;-0.571;-0.36;-0.396;-0.548;0.456;0.768
Lixo inadequado;-0.246;-0.716;0.039;-0.756;0.573;0.542
Razão de moradores;-0.618;0.348;-0.703;0.092;0.502;0.787
Analfabetismo 15+;-0.734;-0.014;-0.676;-0.287;0.539;0.825
Renda (invertida);-0.726;0.312;-0.79;0.019;0.624;0.703
Cor/raça PPI;-0.844;0.135;-0.833;-0.191;0.731;0.685
