;CP1;CP2;Varimax1;Varimax2;comunalidade;MSA
Água inadequada;-0.457;0.744;0.083;0.869;0.762;0.624
Esgoto inadequado;-0.675;0.375;-0.313;0.706;0.596;0.775
Lixo inadequado;-0.295;-0.064;-0.274;0.127;0.091;0.633
Razão de moradores;-0.589;0.004;-0.468;0.358;0.347;0.821
Analfabetismo 15+;-0.781;0.06;-0.588;0.518;0.614;0.788
Renda (invertida);-0.605;-0.647;-0.873;-0.152;0.785;0.632
Cor/raça PPI;-0.824;-0.281;-0.827;0.272;0.758;0.705
