;CP1;CP2;Varimax1;Varimax2;comunalidade;MSA
Água inadequada;-0.503;0.754;-0.087;0.903;0.822;0.745
Esgoto inadequado;-0.666;0.413;-0.392;0.679;0.615;0.85
Razão de moradores;-0.616;0.023;-0.532;0.312;0.38;0.913
Analfabetismo 15+;-0.825;-0.299;-0.868;0.127;0.77;0.815
Renda (invertida);-0.871;-0.312;-0.915;0.137;0.856;0.715
Cor/raça PPI;-0.85;-0.178;-0.833;0.245;0.754;0.78
