;componente;autovalor;pct_variancia;pct_acumulado;autovalor_aleatorio_horn
0;1;2.7789;46.31;46.31;1.0232
1;2;1.0511;17.52;63.83;1.0119
2;3;0.8689;14.48;78.31;1.0031
3;4;0.5858;9.76;88.08;0.9962
4;5;0.5367;8.95;97.02;0.988
5;6;0.1787;2.98;100.0;0.9776
