variavel;Varimax1;Varimax2;Padrao1;Padrao2;Estrutura1;Estrutura2;comun_ortogonal;comun_obliqua;var_residual
Água inadequada;0.4824;0.1443;0.4785;0.1003;0.4936;0.1724;0.2535;0.2535;0.7465
Esgoto inadequado;0.6342;0.2608;0.6249;0.2035;0.6555;0.2976;0.4702;0.4702;0.5298
Lixo inadequado;0.1184;0.9195;0.0649;0.9151;0.2026;0.9248;0.8594;0.8594;0.1406
Razão de moradores;0.6781;-0.3732;0.7069;-0.4391;0.6408;-0.3327;0.5991;0.5991;0.4009
Analfabetismo 15+;0.8223;0.0714;0.8261;-0.0048;0.8254;0.1196;0.6813;0.6813;0.3187
Renda (invertida);0.8578;0.1534;0.8571;0.0745;0.8683;0.2035;0.7594;0.7594;0.2406
Cor/raça PPI;0.8348;0.169;0.8329;0.0924;0.8468;0.2178;0.7254;0.7254;0.2746
