;componente;autovalor;pct_variancia;pct_acumulado;autovalor_aleatorio_horn
0;1;2.7554;39.36;39.36;1.0259
1;2;1.1983;17.12;56.48;1.0155
2;3;1.0746;15.35;71.83;1.0075
3;4;0.6591;9.42;81.25;1.0005
4;5;0.5362;7.66;88.91;0.9927
5;6;0.4674;6.68;95.59;0.9848
6;7;0.309;4.41;100.0;0.9731
