variavel;coluna;dimensao;carga;peso
Água inadequada;pct_agua_inad;2;0.902559;0.223343
Esgoto inadequado;pct_esgoto_inad;2;0.679395;0.126551
Razão de moradores;razao_moradores;1;0.531993;0.071646
Analfabetismo 15+;pct_analfab;1;0.868313;0.190869
Renda (invertida);renda_inv;1;0.915135;0.212008
Cor/raça PPI;pct_raca_pretpardind;1;0.83282;0.175584
