;CP1;CP2;Varimax1;Varimax2;comunalidade;MSA
Água inadequada;-0.501;0.049;-0.482;0.144;0.253;0.753
Esgoto inadequado;-0.672;0.135;-0.634;0.261;0.47;0.834
Lixo inadequado;-0.292;0.88;-0.118;0.919;0.859;0.7
Razão de moradores;-0.594;-0.496;-0.678;-0.373;0.599;0.857
Analfabetismo 15+;-0.821;-0.087;-0.822;0.071;0.681;0.819
Renda (invertida);-0.871;-0.013;-0.858;0.153;0.759;0.724
Cor/raça PPI;-0.852;0.006;-0.835;0.169;0.725;0.782
