CD_UF;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
41;pct_casa;Morfologia;False;17483;0.852589;0.270833;0.869921;0.984802;1.000000;0.837923
41;pct_casa_vila_condominio;Morfologia;False;15678;0.025902;0.097133;0.000000;0.000000;0.000000;0.027872
41;pct_sem_agua_canalizada;Saneamento;False;17727;0.003126;0.023973;0.000000;0.000000;0.000000;0.997644
41;pct_agua_nao_encanada;Saneamento;False;16667;0.000816;0.017689;0.000000;0.000000;0.000000;0.000489
41;pct_agua_so_terreno;Saneamento;False;15340;0.001140;0.016588;0.000000;0.000000;0.000000;0.000955
41;pct_sem_banheiro;Saneamento;False;15865;0.000868;0.013742;0.000000;0.000000;0.000000;0.000660
41;pct_sem_banheiro_nem_sanitario;Saneamento;False;17474;0.000027;0.001364;0.000000;0.000000;0.000000;0.000031
41;pct_resp_feminino;Socioeconômica;False;17644;0.476510;0.109790;0.401015;0.476923;0.556184;0.478489
41;pct_crianca_0a4;Demografia;False;17463;0.060261;0.022082;0.045356;0.058394;0.073321;0.061393
41;pct_pop_0a14;Demografia;False;17673;0.187126;0.053250;0.154167;0.186856;0.220085;0.192313
41;pct_idoso_60mais;Demografia;False;17652;0.169320;0.075324;0.114405;0.162832;0.217547;0.161447
41;iep_setor;Demografia;False;17531;109.195208;88.613473;52.802010;87.288136;138.336961;83.949019
41;rdi_setor;Demografia;False;17648;27.444978;16.181594;17.089972;25.081700;35.162177;24.990710
41;prop_70mais_entre_60mais;Demografia;False;17318;42.292779;9.727826;36.263736;42.452830;48.360656;43.817176
42;pct_agua_inad;Saneamento;True;13057;0.101273;0.211646;0.000000;0.000000;0.086777;0.069934
42;pct_esgoto_inad;Saneamento;True;13056;0.080651;0.201830;0.000000;0.000000;0.031579;0.065537
42;pct_lixo_inad;Saneamento;True;13056;0.062152;0.184921;0.000000;0.000000;0.010801;0.056055
42;razao_moradores;Socioeconômica;True;13057;2.692045;0.306452;2.509317;2.704348;2.890244;2.685120
42;pct_analfab;Socioeconômica;True;10859;0.027723;0.026988;0.011050;0.020979;0.036731;0.025898
42;renda_media;Socioeconômica;True;13055;3763.027076;2265.396756;2523.930000;3094.930000;4080.965000;3763.027076
42;pct_raca_pretpardind;Socioeconômica;True;13057;0.222393;0.122819;0.134763;0.204355;0.291971;0.240472
42;pct_dom_improv;Morfologia;False;12478;0.000127;0.007051;0.000000;0.000000;0.000000;0.000091
42;pct_hab_precaria;Morfologia;False;13057;0.001339;0.014360;0.000000;0.000000;0.000000;0.001471
42;pct_moradia_convencional;Morfologia;False;13057;0.995538;0.017985;0.996109;1.000000;1.000000;0.996522
42;pct_moradia_nao_convencional;Morfologia;False;13057;0.001236;0.012801;0.000000;0.000000;0.000000;0.001401
42;pct_apartamento;Morfologia;False;11981;0.231146;0.302315;0.000000;0.085714;0.341014;0.262360
42;pct_casa;Morfologia;False;12879;0.786428;0.285919;0.692740;0.923913;0.992481;0.753199
42;pct_casa_vila_condominio;Morfologia;False;11338;0.008905;0.049593;0.000000;0.000000;0.000000;0.010034
42;pct_sem_agua_canalizada;Saneamento;False;13053;0.005427;0.036690;0.000000;0.000000;0.000000;0.996364
42;pct_agua_nao_encanada;Saneamento;False;12291;0.002046;0.029462;0.000000;0.000000;0.000000;0.001049
42;pct_agua_so_terreno;Saneamento;False;11334;0.002374;0.027239;0.000000;0.000000;0.000000;0.001769
42;pct_sem_banheiro;Saneamento;False;11780;0.000753;0.014011;0.000000;0.000000;0.000000;0.000642
42;pct_sem_banheiro_nem_sanitario;Saneamento;False;12866;0.000029;0.001049;0.000000;0.000000;0.000000;0.000031
42;pct_resp_feminino;Socioeconômica;False;12942;0.461787;0.117548;0.384615;0.468750;0.544974;0.468321
42;pct_crianca_0a4;Demografia;False;12649;0.060903;0.021703;0.047091;0.059524;0.073314;0.061975
42;pct_pop_0a14;Demografia;False;12994;0.180785;0.052180;0.150920;0.181818;0.212262;0.187661
42;pct_idoso_60mais;Demografia;False;12985;0.162239;0.072524;0.113360;0.153959;0.202899;0.149480
42;iep_setor;Demografia;False;12791;104.720898;90.355556;54.819688;84.848485;128.521825;79.645547
42;rdi_setor;Demografia;False;12978;26.240479;18.379959;16.730408;23.352471;32.149189;22.568808
42;prop_70mais_entre_60mais;Demografia;False;12643;41.167337;10.910971;34.736842;40.909091;47.099112;41.804147
43;pct_agua_inad;Saneamento;True;18985;0.084688;0.209638;0.000000;0.000000;0.041667;0.061492
43;pct_esgoto_inad;Saneamento;True;18985;0.109121;0.241602;0.000000;0.000000;0.054054;0.097142
43;pct_lixo_inad;Saneamento;True;18985;0.131258;0.282070;0.000000;0.000000;0.055085;0.127124
43;razao_moradores;Socioeconômica;True;18985;2.529894;0.318778;2.352941;2.549451;2.724138;2.529168
43;pct_analfab;Socioeconômica;True;15921;0.031111;0.029069;0.012225;0.023936;0.041958;0.029878
43;renda_media;Socioeconômica;True;18985;3371.506362;2388.677770;2082.310000;2700.880000;3804.610000;3371.506362
43;pct_raca_pretpardind;Socioeconômica;True;18984;0.207993;0.124880;0.116089;0.186985;0.278575;0.220640
43;pct_dom_improv;Morfologia;False;17861;0.000182;0.003226;0.000000;0.000000;0.000000;0.000203
43;pct_hab_precaria;Morfologia;False;18985;0.000896;0.010358;0.000000;0.000000;0.000000;0.000923
43;pct_moradia_convencional;Morfologia;False;18985;0.996228;0.014316;0.996226;1.000000;1.000000;0.997145
43;pct_moradia_nao_convencional;Morfologia;False;18985;0.000759;0.009785;0.000000;0.000000;0.000000;0.000767
43;pct_apartamento;Morfologia;False;16856;0.217584;0.326442;0.000000;0.038710;0.301075;0.239135
43;pct_casa;Morfologia;False;18666;0.803236;0.304662;0.751282;0.963470;1.000000;0.782080
43;pct_casa_vila_condominio;Morfologia;False;16720;0.015108;0.080301;0.000000;0.000000;0.000000;0.017443
