regiao;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
Nordeste;pct_resp_feminino;Socioeconômica;False;74976;0.546407;0.100301;0.482759;0.550374;0.615385;0.546181
Nordeste;pct_crianca_0a4;Demografia;False;74457;0.065019;0.022255;0.049767;0.063613;0.078767;0.065786
Nordeste;pct_pop_0a14;Demografia;False;75003;0.204489;0.054265;0.169261;0.203797;0.239290;0.208188
Nordeste;pct_idoso_60mais;Demografia;False;74861;0.145922;0.065478;0.099174;0.138975;0.185228;0.141148
Nordeste;iep_setor;Demografia;False;74570;85.501532;75.246886;42.000000;67.630058;106.363636;67.802654
Nordeste;rdi_setor;Demografia;False;74848;23.089082;12.357844;14.947368;21.292776;29.166667;21.697413
Nordeste;prop_70mais_entre_60mais;Demografia;False;73647;44.592847;10.337682;38.235294;45.000000;51.136364;45.916577
Norte;pct_agua_inad;Saneamento;True;21862;0.334478;0.355168;0.022069;0.179612;0.622956;0.331539
Norte;pct_esgoto_inad;Saneamento;True;21861;0.444070;0.399281;0.033708;0.340659;0.898305;0.428837
Norte;pct_lixo_inad;Saneamento;True;21860;0.118775;0.243589;0.000000;0.000000;0.088442;0.099043
Norte;razao_moradores;Socioeconômica;True;21862;3.248880;0.522738;2.929204;3.179965;3.480000;3.232108
Norte;pct_analfab;Socioeconômica;True;20737;0.066837;0.051624;0.029126;0.052846;0.092807;0.063380
Norte;renda_media;Socioeconômica;True;21858;2466.258556;2291.602990;1437.605000;1859.575000;2615.862500;2466.258556
Norte;pct_raca_pretpardind;Socioeconômica;True;21862;0.766006;0.097744;0.723249;0.780791;0.826347;0.770811
Norte;pct_dom_improv;Morfologia;False;20031;0.000597;0.009800;0.000000;0.000000;0.000000;0.000517
Norte;pct_hab_precaria;Morfologia;False;21862;0.004528;0.022596;0.000000;0.000000;0.000000;0.004827
Norte;pct_moradia_convencional;Morfologia;False;21862;0.992396;0.023383;0.993289;1.000000;1.000000;0.992936
Norte;pct_moradia_nao_convencional;Morfologia;False;21862;0.004093;0.021654;0.000000;0.000000;0.000000;0.004418
Norte;pct_apartamento;Morfologia;False;19544;0.081664;0.197841;0.000000;0.000000;0.063843;0.091788
Norte;pct_casa;Morfologia;False;21706;0.883072;0.202878;0.867311;0.962424;1.000000;0.871878
Norte;pct_casa_vila_condominio;Morfologia;False;18668;0.049911;0.113309;0.000000;0.000000;0.053927;0.053736
Norte;pct_sem_agua_canalizada;Saneamento;False;21830;0.063920;0.132609;0.000000;0.013953;0.059524;0.943304
Norte;pct_agua_nao_encanada;Saneamento;False;17243;0.022397;0.085878;0.000000;0.000000;0.000000;0.018470
Norte;pct_agua_so_terreno;Saneamento;False;16789;0.055580;0.114555;0.000000;0.013453;0.056995;0.051414
Norte;pct_sem_banheiro;Saneamento;False;16727;0.036632;0.098305;0.000000;0.000000;0.027424;0.030892
Norte;pct_sem_banheiro_nem_sanitario;Saneamento;False;19339;0.001492;0.013353;0.000000;0.000000;0.000000;0.001195
Norte;pct_resp_feminino;Socioeconômica;False;21786;0.524841;0.104578;0.463054;0.531449;0.593866;0.528238
Norte;pct_crianca_0a4;Demografia;False;21688;0.077154;0.025233;0.059402;0.075581;0.092503;0.077894
Norte;pct_pop_0a14;Demografia;False;21834;0.237513;0.060511;0.196509;0.236046;0.277447;0.241587
Norte;pct_idoso_60mais;Demografia;False;21716;0.106992;0.053780;0.067608;0.098290;0.137763;0.103591
Norte;iep_setor;Demografia;False;21657;53.544659;44.990397;24.817518;41.346154;67.741935;42.885970
Norte;rdi_setor;Demografia;False;21715;16.597937;9.014806;10.278373;14.910859;21.164466;15.823453
Norte;prop_70mais_entre_60mais;Demografia;False;21048;40.818170;10.729821;34.375000;40.909091;47.058824;41.808199
Sudeste;pct_agua_inad;Saneamento;True;175076;0.059917;0.192992;0.000000;0.000000;0.000000;0.043693
Sudeste;pct_esgoto_inad;Saneamento;True;175074;0.067436;0.189928;0.000000;0.000000;0.000000;0.054800
Sudeste;pct_lixo_inad;Saneamento;True;175074;0.098651;0.234186;0.000000;0.000000;0.038541;0.093563
Sudeste;razao_moradores;Socioeconômica;True;175076;2.678947;0.327005;2.500000;2.696970;2.882821;2.686952
